ModemTime,Longitude,Latitude
2022-05-08 02:40:16.000,"4,385,895","204,215,266"
2022-05-08 03:40:22.000,"4,385,895","204,215,266"
2022-05-08 04:40:28.000,"4,385,895","204,215,266"
2022-05-08 05:40:34.000,"4,385,895","204,215,266"
2022-05-08 06:40:42.000,"4,385,895","204,215,266"
2022-05-08 07:40:48.000,"4,385,895","204,215,266"
2022-05-08 07:48:41.000,"4,385,895","204,215,266"
2022-05-08 07:48:43.000,"438,590,049","2,042,155"
2022-05-08 07:48:43.010,"438,590,049","2,042,155"
2022-05-08 07:48:58.000,"438,588,966","204,215,166"
2022-05-08 07:49:18.000,"438,588,016","204,215,466"
2022-05-08 07:49:48.000,"438,587,799","2,042,147"
2022-05-08 07:50:18.000,"438,587,799","2,042,147"
2022-05-08 07:50:48.000,"438,573","204,200,966"
2022-05-08 07:51:18.000,"4,385,691","204,173,033"
2022-05-08 07:51:48.000,"43,854,655","2,041,377"
2022-05-08 07:52:18.000,"438,521,983","204,116,716"
2022-05-08 07:52:30.000,"43,851,455","204,113,666"
2022-05-08 07:53:01.000,"438,525,816","204,066,333"
2022-05-08 07:53:30.000,"438,552,233","204,013,649"
2022-05-08 07:54:00.000,"438,564,566","2,039,511"
2022-05-08 07:54:30.000,"438,580,083","203,925,033"
2022-05-08 07:55:00.000,"4,385,928","2,039,062"
2022-05-08 07:55:30.000,"43,862,045","203,865,033"
2022-05-08 07:56:00.000,"438,645,499","2,038,196"
2022-05-08 07:56:31.000,"438,662,666","203,767,633"
2022-05-08 07:57:01.000,"438,667","203,718,266"
2022-05-08 07:57:29.000,"438,672,183","20,367,825"
2022-05-08 07:57:59.000,"438,699,483","203,660,083"
2022-05-08 07:58:16.000,"438,709,183","203,653,583"
2022-05-08 07:58:46.000,"438,719,433","203,680,333"
2022-05-08 07:59:15.000,"438,737,516","203,713,033"
2022-05-08 07:59:46.000,"4,387,515","20,373,655"
2022-05-08 08:00:16.000,"438,766,066","2,037,517"
2022-05-08 08:00:46.000,"438,782,433","2,037,623"
2022-05-08 08:01:16.000,"438,804,666","203,775,766"
2022-05-08 08:01:44.000,"438,821,333","203,796,183"
2022-05-08 08:02:14.000,"438,842,149","203,773,433"
2022-05-08 08:02:44.000,"4,388,556","203,733,299"
2022-05-08 08:03:02.000,"438,862,216","203,717,633"
2022-05-08 08:03:18.000,"438,863,383","20,371,665"
2022-05-08 08:03:18.010,"438,863,383","20,371,665"
2022-05-08 08:03:20.000,"43,886,325","203,715,716"
2022-05-08 08:03:20.010,"43,886,325","203,715,716"
2022-05-08 08:03:20.020,"43,886,325","203,715,716"
2022-05-08 08:03:51.000,"43,886,295","203,715,816"
2022-05-08 08:04:20.000,"43,886,285","203,715,233"
2022-05-08 08:04:50.000,"438,862,866","20,371,525"
2022-05-08 08:05:20.000,"438,862,866","20,371,525"
2022-05-08 08:05:25.000,"438,862,616","2,037,156"
2022-05-08 08:05:55.000,"43,886,285","203,715,433"
2022-05-08 08:06:17.000,"43,886,285","203,715,433"
2022-05-08 08:06:48.000,"438,863","203,715,349"
2022-05-08 08:07:18.000,"438,863","203,715,349"
2022-05-08 08:07:48.000,"438,863,066","203,715,166"
2022-05-08 08:08:18.000,"438,863,066","203,714,916"
2022-05-08 08:08:48.000,"438,863,066","203,714,916"
2022-05-08 08:08:53.000,"438,863,066","203,714,916"
2022-05-08 08:09:23.000,"438,863,066","203,714,916"
2022-05-08 08:09:52.000,"438,863,799","203,716,633"
2022-05-08 08:10:23.000,"438,863,799","203,716,633"
2022-05-08 08:10:53.000,"438,863,799","203,716,633"
2022-05-08 08:11:23.000,"438,863,799","203,716,633"
2022-05-08 08:11:53.000,"438,863,799","203,716,633"
2022-05-08 08:12:23.000,"438,863,799","203,716,633"
2022-05-08 08:12:53.000,"438,863,799","203,716,633"
2022-05-08 08:13:23.000,"438,863,799","203,716,633"
2022-05-08 08:13:27.000,"438,863,966","203,716"
2022-05-08 08:13:32.000,"438,863,983","2,037,148"
2022-05-08 08:13:38.000,"43,886,295","203,714,483"
2022-05-08 08:14:08.000,"438,850,966","203,745,133"
2022-05-08 08:14:38.000,"438,836,816","203,781,283"
2022-05-08 08:15:03.000,"4,388,196","20,379,295"
2022-05-08 08:15:32.000,"438,797,433","203,768,633"
2022-05-08 08:16:02.000,"438,776,816","203,757,516"
